"ID","Severity","Status","CWE","Type","Tool","Location","Path","Line","Host"
"7028","Info","Escalated","","Unclosed regular expression","JSHint","carbon-master/components/Page.js:26","carbon-master/components/Page.js","26",""
"7029","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/lib/routing.js:176","carbon-master/lib/routing.js","176",""
"7030","Low","Escalated","","Avoid trailing commas in object and array literals","PMD","carbon-master/lib/routing.js:86-107","carbon-master/lib/routing.js","86-107",""
"7031","Low","Escalated","","Avoid trailing commas in object and array literals","PMD","carbon-master/lib/routing.js:8-55","carbon-master/lib/routing.js","8-55",""
"7032","Low","Escalated","","Avoid trailing commas in object and array literals","PMD","carbon-master/lib/routing.js:181-183","carbon-master/lib/routing.js","181-183",""
"7033","Info","Escalated","","Use base with parseInt","PMD","carbon-master/lib/routing.js:15","carbon-master/lib/routing.js","15",""
"7034","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/lib/routing.js:110","carbon-master/lib/routing.js","110",""
"7035","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/lib/routing.js:156","carbon-master/lib/routing.js","156",""
"7036","Info","Escalated","","Use base with parseInt","PMD","carbon-master/lib/routing.js:24","carbon-master/lib/routing.js","24",""
"7037","Low","Escalated","","Avoid trailing commas in object and array literals","PMD","carbon-master/lib/routing.js:58-84","carbon-master/lib/routing.js","58-84",""
"7038","Low","Escalated","","Avoid trailing commas in object and array literals","PMD","carbon-master/lib/routing.js:184-187","carbon-master/lib/routing.js","184-187",""
"7039","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/lib/routing.js:136","carbon-master/lib/routing.js","136",""
"7040","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/lib/routing.js:158","carbon-master/lib/routing.js","158",""
"7041","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/lib/routing.js:6","carbon-master/lib/routing.js","6",""
"7042","Low","Escalated","","Avoid trailing commas in object and array literals","PMD","carbon-master/components/EditorContainer.js:85-88","carbon-master/components/EditorContainer.js","85-88",""
"7043","Info","Escalated","","Unclosed regular expression","JSHint","carbon-master/components/EditorContainer.js:115","carbon-master/components/EditorContainer.js","115",""
"7044","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/components/EditorContainer.js:48","carbon-master/components/EditorContainer.js","48",""
"7045","Low","Escalated","","Avoid trailing commas in object and array literals","PMD","carbon-master/components/EditorContainer.js:93-96","carbon-master/components/EditorContainer.js","93-96",""
"7046","Info","Escalated","","Unclosed regular expression","JSHint","carbon-master/components/svg/Checkmark.js:15","carbon-master/components/svg/Checkmark.js","15",""
"7047","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/components/svg/Checkmark.js:5","carbon-master/components/svg/Checkmark.js","5",""
"7048","Info","Escalated","","Unclosed regular expression","JSHint","carbon-master/components/svg/Arrows.js:6","carbon-master/components/svg/Arrows.js","6",""
"7049","Info","Escalated","","Unclosed regular expression","JSHint","carbon-master/components/MenuButton.js:19","carbon-master/components/MenuButton.js","19",""
"7050","Low","Escalated","","Avoid trailing commas in object and array literals","PMD","carbon-master/lib/client.js:32-34","carbon-master/lib/client.js","32-34",""
"7051","Info","False Positive","","Class properties must be methods","JSHint","carbon-master/components/Slider.js:7","carbon-master/components/Slider.js","7",""
"7052","Info","False Positive","","Expected an identifier","JSHint","carbon-master/components/Slider.js:7","carbon-master/components/Slider.js","7",""
"7053","Info","Escalated","398","Undeclared variables are global by default","PMD","carbon-master/components/Slider.js:33","carbon-master/components/Slider.js","33",""
